DATE,ROUTE NO,SHOP NO,ACCOUNT,SHOP CODE,SHOP NAME,ODD,PCS,PCS(31),CRATES,SERVICE TIME,LATITUDE,LONGITUDE,ADDRESS
31-May,47,5,MD,101857,MD VICTORY MALL,31,765,765,17,,14.655685,120.982771,"Victory Liner, 713 Rizal Avenue Ext., Caloocan, 1400 Kalakhang Maynila, Philippines"
31-May,47,6,MD,113355,MD TRO-SPE LRT MALL CALOOCAN,31,339,339,9,,14.654337,120.984252,"Monumento, Grace Park West, Caloocan, Metro Manila, Philippines"
31-May,47,7,MD,108611,MD VICTORY TERMINAL MONUMENTO,31,696,674,12,,14.654902,120.981093,"Victory Liner Incorporated, 713 Rizal Avenue Extension, Calookan City, Metro Manila, Philippines"
31-May,47,8,MD,108621,MD ARANETA SQUARE,30,414,414,10,,14.656913,120.983289,"Caloocan, Metro Manila, Philippines"
31-May,47,9,MD,112399,MD VICTORY TERMINAL CALOOCAN 2,31,613,593,11,,14.65587,120.983602,"Caloocan City, Caloocan, Metro Manila, Philippines"
31-May,47,10,MD,113491,MD TRO/SPE Ever P. Burgos Caloocan,30,628,41,14,,14.650835,120.973136,"15, Caloocan, Metro Manila, Philippines"
31-May,47,11,MD,109467,MD SM SANGANDAAN,2,796,796,18,,14.658211,120.972084,"116 C-4, Sangandaan, Caloocan, Metro Manila, Philippines"
31-May,47,12,MD,102217,MD PUREGOLD MONUMENTO,31,330,330,9,,14.656648,120.982472,"Puregold Monumento, 242 Samson Road , Monumento, Caloocan, 1400 Metro Manila, Philippines"
30-May,47,3,KA,108295,7-11 ST1888 MARKET PLACE 11TH,31,61,36,4,,14.652527,120.996048,"100, East Grace Park, Caloocan, Metro Manila, Philippines"
29-May,47,2,MD,112449,MD TRO-SPE EVER 11TH AVENUE,18,0,0,0,,14.652196,120.997067,"Balingasa, A. Bonifacio, Quezon City, Metro Manila, Philippines"
29-May,47,4,MD,101886,KSMAP MCU,3,25,2,1,,14.652981,120.984543,"Balingasa, A. Bonifacio, Quezon City, Metro Manila, Philippines"
